id,inc,complex,inc_clean
NCT05353530,"<p>0 = Negative</p><ol>
<li>= Low level</li>
<li>= Moderate level</li>
<li>
<p>= High level</p>
<ul>
<li>
<p>The criteria for inclusion will be at least 20% of the cells scoring 1+ staining intensity (&gt; 20%, 1+).</p>
<ul>
<li>Surgical resection of tumors with less than 3cm x 3cm (9 cm2) residual enhancing tumor as a product of longest perpendicular planes by MRI. (biopsy only subjects are not eligible for this study)</li>
<li>Karnofsky Performance Status (KPS) of &gt; 70%</li>
<li>CBC with differential with adequate bone marrow function as defined below:</li>
</ul>
</li>
<li>Absolute neutrophil count (ANC) ≥ 1500 cells/mm3.</li>
<li>Platelet count ≥ 100,000 cells/mm3.</li>
<li>
<p>Hemoglobin ≥ 10 g/dl. (The use of transfusion or other intervention to achieve Hgb ≥ 10 g/dl is acceptable.)</p>
<p>• Adequate renal function as defined below:</p>
</li>
<li>BUN ≤ 25 mg/dl</li>
<li>
<p>Creatinine ≤ 1.7 mg/dl</p>
<p>• Adequate hepatic function as defined below:</p>
</li>
<li>Bilirubin ≤ 2.0 mg/dl</li>
<li>ALT ≤ 5 times institutional upper limits of normal for age</li>
<li>
<p>AST ≤ 5 times institutional upper limits of normal for age</p>
<ul>
<li>Signed informed consent. If the patient's mental status precludes his/her giving informed consent, written informed consent may be given by the legally authorized representative.</li>
<li>For females of childbearing potential, a negative serum pregnancy test at enrollment.</li>
<li>Women of childbearing potential (WOCBP) must be willing to use an acceptable contraceptive method to avoid pregnancy throughout the study and for at least 24 weeks after the last dose of study drug.</li>
<li>Males with female partners of childbearing potential must agree to practice adequate contraceptive methods throughout the study and should avoid conceiving children for 24 weeks following the last dose of study drug.</li>
</ul>
</li>
</ul>
</li>
</ol>",1,"<p>0 = Negative</p><ol> <li>= Low level</li> <li>= Moderate level</li> <li> <p>= High level</p> <ul> <li> <p>The criteria for inclusion will be at least 20% of the cells scoring 1+ staining intensity (> 20%, 1+).</p> <ul> <li>Surgical resection of tumors with less than 3cm x 3cm (9 cm2) residual enhancing tumor as a product of longest perpendicular planes by MRI. (biopsy only subjects are not eligible for this study)</li> <li>Karnofsky Performance Status (KPS) of > 70%</li> <li>CBC with differential with adequate bone marrow function as defined below:</li> </ul> </li> <li>Absolute neutrophil count (ANC) ≥ 1500 cells/mm3.</li> <li>Platelet count ≥ 100,000 cells/mm3.</li> <li> <p>Hemoglobin ≥ 10 g/dl. (The use of transfusion or other intervention to achieve Hgb ≥ 10 g/dl is acceptable.)</p> <p>• Adequate renal function as defined below:</p> </li> <li>BUN ≤ 25 mg/dl</li> <li> <p>Creatinine ≤ 1.7 mg/dl</p> <p>• Adequate hepatic function as defined below:</p> </li> <li>Bilirubin ≤ 2.0 mg/dl</li> <li>ALT ≤ 5 times institutional upper limits of normal for age</li> <li> <p>AST ≤ 5 times institutional upper limits of normal for age</p> <ul> <li>Signed informed consent. If the patient's mental status precludes his/her giving informed consent, written informed consent may be given by the legally authorized representative.</li> <li>For females of childbearing potential, a negative serum pregnancy test at enrollment.</li> <li>Women of childbearing potential (WOCBP) must be willing to use an acceptable contraceptive method to avoid pregnancy throughout the study and for at least 24 weeks after the last dose of study drug.</li> <li>Males with female partners of childbearing potential must agree to practice adequate contraceptive methods throughout the study and should avoid conceiving children for 24 weeks following the last dose of study drug.</li> </ul> </li> </ul> </li> </ol>"
NCT02723942,GPC3 high expression hepatocellular carcinoma patients.,0,GPC3 high expression hepatocellular carcinoma patients.
NCT03030001,6. ECOG (Eastern Cooperative Oncology Group) performance status of 0-2.,0,6. ECOG (Eastern Cooperative Oncology Group) performance status of 0-2.
NCT04981691,"Ages Eligible for Study: 18 Years to 80 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 80 Years (Adult, Older Adult)"
NCT04196413,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03993743,Patient with histologically confirmed diagnosis of CD147+ hepatocellular carcinoma.,0,Patient with histologically confirmed diagnosis of CD147+ hepatocellular carcinoma.
NCT00889954,"Ages Eligible for Study: 3 Years and older   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 3 Years and older (Child, Adult, Older Adult)"
NCT04626752,"The subjects had no pulmonary infection, normal pulmonary function, and indoor air oxygen saturation ≥92%;",1,"The subjects had no pulmonary infection, normal pulmonary function, and indoor air oxygen saturation ≥92%"
NCT04888442,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05030779,"Ages Eligible for Study: Child, Adult, Older Adult",0,"Ages Eligible for Study: Child, Adult, Older Adult"
NCT03483688,Left ventricular ejection fraction (LVEF) ≥ 50% (detected by echocardiography).,0,Left ventricular ejection fraction (LVEF) ≥ 50% (detected by echocardiography).
NCT05105152,"<li>
<p>If a subject does not have a previously obtained apheresis product that is acceptable and available for manufacturing of DARIC T cells, the subject must discontinue all anticancer agents and radiotherapy and, in the opinion of the investigator, have fully recovered from significant acute toxic effects of all prior chemotherapy, immunotherapy, and radiotherapy:</p>
<p>a. Chemotherapy and biologic agents: All chemotherapy and biologic therapy not specifically mentioned below must be discontinued ≥ 7 days prior to enrollment, with the exception of intrathecal chemotherapy for which there is not a required washout period b. Must be ≥ 30 days from last gemtuzumab ozogamicin dose. c. Steroid use: All corticosteroid therapy (unless physiologic replacement dosing) must be discontinued ≥ 7 days prior to enrollment d. Tyrosine Kinase Inhibitor (TKI) use: All TKIs must be discontinued ≥ 3 days prior to enrollment e. Hydroxyurea: must be discontinued ≥ 1 day prior to enrollment. f. Gene Modified cellular therapy: i. must be at least 30 days from most recent gene modified cell therapy infusion and document no evidence of modified cells in the peripheral blood OR ii. must be at least 60 days from most recent gene modified cell therapy</p>
</li>",1,"<li> <p>If a subject does not have a previously obtained apheresis product that is acceptable and available for manufacturing of DARIC T cells, the subject must discontinue all anticancer agents and radiotherapy and, in the opinion of the investigator, have fully recovered from significant acute toxic effects of all prior chemotherapy, immunotherapy, and radiotherapy:</p> <p>a. Chemotherapy and biologic agents: All chemotherapy and biologic therapy not specifically mentioned below must be discontinued ≥ 7 days prior to enrollment, with the exception of intrathecal chemotherapy for which there is not a required washout period b. Must be ≥ 30 days from last gemtuzumab ozogamicin dose. c. Steroid use: All corticosteroid therapy (unless physiologic replacement dosing) must be discontinued ≥ 7 days prior to enrollment d. Tyrosine Kinase Inhibitor (TKI) use: All TKIs must be discontinued ≥ 3 days prior to enrollment e. Hydroxyurea: must be discontinued ≥ 1 day prior to enrollment. f. Gene Modified cellular therapy: i. must be at least 30 days from most recent gene modified cell therapy infusion and document no evidence of modified cells in the peripheral blood OR ii. must be at least 60 days from most recent gene modified cell therapy</p> </li>"
NCT03018093,Morphological disease in the bone marrow (≥ 5% blasts).,0,Morphological disease in the bone marrow (≥ 5% blasts).
NCT05404048,"If has history of central nervous system (CNS) disease, then must have no signs or symptoms of CNS disease, no active disease on magnetic resonance imaging (MRI) and absence of large cell lymphoma in cerebral spinal fluid (CSF) on cytospin preparation and flow cytometry, regardless of the number of white blood cells.",0,"If has history of central nervous system (CNS) disease, then must have no signs or symptoms of CNS disease, no active disease on magnetic resonance imaging (MRI) and absence of large cell lymphoma in cerebral spinal fluid (CSF) on cytospin preparation and flow cytometry, regardless of the number of white blood cells."
NCT02958397,"Patients must have measurable or evaluable disease at the time of enrollment, which may include any evidence of disease including minimal residual disease detected by flow cytometry, cytogenetics, or polymerase chain reaction (PCR) analysis.",0,"Patients must have measurable or evaluable disease at the time of enrollment, which may include any evidence of disease including minimal residual disease detected by flow cytometry, cytogenetics, or polymerase chain reaction (PCR) analysis."
NCT03110640,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT01818323,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04196205,"Ages Eligible for Study: 18 Years to 70 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT04007029,Minimum tumor burden of 1.5 cm^3 for lymphoma,0,Minimum tumor burden of 1.5 cm^3 for lymphoma
NCT05028933,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05325801,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04271410,All genders ，ages: 2 to 75 years；,0,"All genders ,ages: 2 to 75 years"
NCT05480501,Adequate organ function.,0,Adequate organ function.
NCT02445222,"Ages Eligible for Study: Child, Adult, Older Adult",0,"Ages Eligible for Study: Child, Adult, Older Adult"
NCT05585996,Life expectancy ≥ 3 months;,0,Life expectancy ≥ 3 months
NCT04817774,Written informed consent.,0,Written informed consent.
NCT04897321,"Ages Eligible for Study: up to 21 Years   (Child, Adult)",0,"Ages Eligible for Study: up to 21 Years (Child, Adult)"
NCT03563326,"Patients with EpCAM positive gastric cancer who have peritoneal metastasis at first visit; Patients with highly suspected or previous proven peritoneal metastasis by biopsy, CT, digital rectal examination, etc. who failed to the routine therapies like chemotherapy;",1,"Patients with EpCAM positive gastric cancer who have peritoneal metastasis at first visit; Patients with highly suspected or previous proven peritoneal metastasis by biopsy, CT, digital rectal examination, etc. who failed to the routine therapies like chemotherapy"
NCT03585764,Confirmation of tumor aFR expression (≥70% of tumor cells with ≥2+ aFR staining).,0,Confirmation of tumor aFR expression (≥70% of tumor cells with ≥2+ aFR staining).
NCT03884751,Understand and sign informed consent.,0,Understand and sign informed consent.
NCT02028455,Patients must be free from active GVHD and off immunosuppressive GVHD therapy for 4 weeks prior to enrollment.,0,Patients must be free from active GVHD and off immunosuppressive GVHD therapy for 4 weeks prior to enrollment.
NCT05117008,Spot urine (albumin/creatinine ratio) < 500 mg/g (56 mg/mmol) OR urine dipstick negative/trace (if ≥ 1+ only eligible if confirmed < 500 mg/g (56 mg/mmol) by albumin/creatinine ratio (spot urine from first void).,0,Spot urine (albumin/creatinine ratio) < 500 mg/g (56 mg/mmol) OR urine dipstick negative/trace (if ≥ 1+ only eligible if confirmed < 500 mg/g (56 mg/mmol) by albumin/creatinine ratio (spot urine from first void).
NCT04890236,Alanine aminotransferase (AST)/aspartate aminotransferase (ALT) < 2 x upper limit of normal (ULN),0,Alanine aminotransferase (AST)/aspartate aminotransferase (ALT) < 2 x upper limit of normal (ULN)
NCT04410900,"CARTx RECIPIENTS: Patients must be 18 years of age or older, of any gender, race or ethnicity",1,"CARTx RECIPIENTS: Patients must be 18 years of age or older, of any gender, race or ethnicity"
NCT03330691,"<li>
<p>Disease status:</p>
<ul>
<li>If post allogeneic HCT: Confirmed CD19+CD22+ leukemia recurrence defined as at least 0.01% disease following allogeneic HCT</li>
<li>If relapse/refractory status with no prior history of allogeneic HCT, one of the following:</li>
<li>Second or greater marrow relapse, with or without extramedullary disease</li>
<li>First marrow relapse at end of first month or re-induction with marrow having at least 0.01 % blasts by morphology and/or MPF</li>
<li>Primary refractory as defined as greater than 5% blasts by multi-parameter flow after at least 2 separate induction regimens.</li>
<li>Subject has indication for HCT but has been deemed ineligible, inclusive of persistent MRD prior to HCT</li>
</ul>
</li>",0,"<li> <p>Disease status:</p> <ul> <li>If post allogeneic HCT: Confirmed CD19+CD22+ leukemia recurrence defined as at least 0.01% disease following allogeneic HCT</li> <li>If relapse/refractory status with no prior history of allogeneic HCT, one of the following:</li> <li>Second or greater marrow relapse, with or without extramedullary disease</li> <li>First marrow relapse at end of first month or re-induction with marrow having at least 0.01 % blasts by morphology and/or MPF</li> <li>Primary refractory as defined as greater than 5% blasts by multi-parameter flow after at least 2 separate induction regimens.</li> <li>Subject has indication for HCT but has been deemed ineligible, inclusive of persistent MRD prior to HCT</li> </ul> </li>"
NCT04599543,Echocardiogram shows left ventricular ejection fraction (LVEF) ≥50%;,0,Echocardiogram shows left ventricular ejection fraction (LVEF) ≥50%
NCT05325801,ECOG 0-2;,0,ECOG 0-2
NCT04007029,Must be willing and able to provide written informed consent,0,Must be willing and able to provide written informed consent
NCT04119024,"Must have received at least one prior systemic therapy for advanced melanoma (i.e. anti-PD-1 therapy, BRAF plus MEK inhibitor therapy for BRAFV600 mutated melanoma) and is not considered to have an alternate treatment option with curative intent",1,"Must have received at least one prior systemic therapy for advanced melanoma (i.e. anti-PD-1 therapy, BRAF plus MEK inhibitor therapy for BRAFV600 mutated melanoma) and is not considered to have an alternate treatment option with curative intent"
NCT02159495,"ARM 2 - BPDCN: Research participants with a diagnosis of BPDCN, according to World Health Organization (WHO) classification by hematopathology, who underwent at least 1 line of systemic therapy for BPDCN and who have persistent or recurrent disease in at least one of the following are eligible: peripheral blood, bone marrow, lymph nodes, spleen, cutaneous lesions or other sites OR participant who are at high risk for disease recurrence",0,"ARM 2 - BPDCN: Research participants with a diagnosis of BPDCN, according to World Health Organization (WHO) classification by hematopathology, who underwent at least 1 line of systemic therapy for BPDCN and who have persistent or recurrent disease in at least one of the following are eligible: peripheral blood, bone marrow, lymph nodes, spleen, cutaneous lesions or other sites OR participant who are at high risk for disease recurrence"
NCT05364424,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05277753,"Expression of CD7, CD5, CD317, CD47, CD99, CD38 or TRBC1/2 is determined in malignant cells by flow cytometry or immuno-histochemical staining.",0,"Expression of CD7, CD5, CD317, CD47, CD99, CD38 or TRBC1/2 is determined in malignant cells by flow cytometry or immuno-histochemical staining."
NCT03159819,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04429451,At least 4 weeks must have elapsed since prior therapy that included a monoclonal antibody.,0,At least 4 weeks must have elapsed since prior therapy that included a monoclonal antibody.
NCT03874897,"ECOG physical status score 0 ~ 1, within 24 hours prior to apheresis, and at baseline (prior to pre-treatment);",0,"ECOG physical status score 0 ~ 1, within 24 hours prior to apheresis, and at baseline (prior to pre-treatment)"
NCT03198546,Life expectancy >12 weeks,0,Life expectancy >12 weeks
NCT03853616,Male or female patients must have r/r CD19-expressing ALL or NHL/CLL,1,Male or female patients must have r/r CD19-expressing ALL or NHL/CLL
NCT02274584,Hb≥80g/L,0,Hb≥80g/L
NCT04133636,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT05489991,Eastern Cooperative Oncology Group (ECOG) score of 0 or 1.,0,Eastern Cooperative Oncology Group (ECOG) score of 0 or 1.
NCT04782193,Signed written informed consent,0,Signed written informed consent
NCT03765177,"<li>
<p>Participant must have relapsed or refractory CD19+ disease as defined by one of the following:</p>
<p>a. Relapsed or refractory acute lymphoblastic leukemia or chronic lymphocytic leukemia as defined by one of the following: i. Second or greater relapse ii. Any relapse after allogeneic stem cell transplantation (SCT) iii. Chemorefractory as defined by not achieving CR after 2 cycles of a standard induction chemotherapy or one cycle of salvage therapy b. Histologically confirmed B-cell non-Hodgkin's lymphoma including but not limited to diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, or transformed follicular lymphoma, Richter's, Burkitt's or Mantle Cell lymphoma with one of the following: i. Second or greater relapse ii. Any relapse after autologous or allogeneic SCT iii. Chemorefractory as defined by not achieving CR after 2 cycles of a standard chemotherapy or one cycle of salvage therapy</p>
</li>",0,"<li> <p>Participant must have relapsed or refractory CD19+ disease as defined by one of the following:</p> <p>a. Relapsed or refractory acute lymphoblastic leukemia or chronic lymphocytic leukemia as defined by one of the following: i. Second or greater relapse ii. Any relapse after allogeneic stem cell transplantation (SCT) iii. Chemorefractory as defined by not achieving CR after 2 cycles of a standard induction chemotherapy or one cycle of salvage therapy b. Histologically confirmed B-cell non-Hodgkin's lymphoma including but not limited to diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, or transformed follicular lymphoma, Richter's, Burkitt's or Mantle Cell lymphoma with one of the following: i. Second or greater relapse ii. Any relapse after autologous or allogeneic SCT iii. Chemorefractory as defined by not achieving CR after 2 cycles of a standard chemotherapy or one cycle of salvage therapy</p> </li>"
NCT04973527,"Ages Eligible for Study: 18 Years to 75 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 75 Years (Adult, Older Adult)"
NCT02876978,"Ages Eligible for Study: 18 Years to 70 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT04154709,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04377932,"Ages Eligible for Study: 1 Year to 21 Years   (Child, Adult)",0,"Ages Eligible for Study: 1 Year to 21 Years (Child, Adult)"
NCT04045847,Patients with entirely informed consent and voluntarily sign the informed consent by themselves or their legal representative.,0,Patients with entirely informed consent and voluntarily sign the informed consent by themselves or their legal representative.
NCT04185038,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03579888,RECIPIENT: Patient able to provide written informed consent for the long-term follow-up (LTFU) gene therapy study,0,RECIPIENT: Patient able to provide written informed consent for the long-term follow-up (LTFU) gene therapy study
NCT04989803,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04617704,"Liver, kidney and cardiopulmonary functions meet the following requirements: a) Total bilirubin less than or equal to 2*ULN(except for Gilbert Syndrome); ALT and AST less than or equal to 2.5*ULN, maintenance of kidney function not depend on dialysis; c)Corrected serum calcium less than or equal to 12.5 mg/dL or free ion calcium less than or equal to 6.5mg/dL(1.6mmol/L);",1,"Liver, kidney and cardiopulmonary functions meet the following requirements: a) Total bilirubin less than or equal to 2*ULN(except for Gilbert Syndrome); ALT and AST less than or equal to 2.5*ULN, maintenance of kidney function not depend on dialysis; c)Corrected serum calcium less than or equal to 12.5 mg/dL or free ion calcium less than or equal to 6.5mg/dL(1.6mmol/L)"
NCT03661554,Patients agreed to participate in the clinical study and signed the informed consent form.,0,Patients agreed to participate in the clinical study and signed the informed consent form.
NCT05631912,"Ages Eligible for Study: 18 Years to 75 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 75 Years (Adult, Older Adult)"
NCT04706936,BCMA expression ≥50% in bone marrow samples confirmed by Flow Cytometry or IHC is positive for BCMA expression;,0,BCMA expression ≥50% in bone marrow samples confirmed by Flow Cytometry or IHC is positive for BCMA expression
NCT05123209,"≥ 18 years old, male or female.",1,"≥ 18 years old, male or female."
NCT05052528,"For females of reproductive potential: use of highly effective contraception (oral contraceptives, intrauterine device) during screening confirmed with serum pregnancy test, and agreement to use such a method during study participation and for an additional 4 weeks after the end of CD19 CAR T cell infusion",0,"For females of reproductive potential: use of highly effective contraception (oral contraceptives, intrauterine device) during screening confirmed with serum pregnancy test, and agreement to use such a method during study participation and for an additional 4 weeks after the end of CD19 CAR T cell infusion"
NCT05633615,"STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): Participants with current symptoms of cardiac disease must have a clinical risk assessment of cardiac function using the New York Heart Association Functional Classification. To be eligible for this trial, participants must be class 2B or better",0,"STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): Participants with current symptoms of cardiac disease must have a clinical risk assessment of cardiac function using the New York Heart Association Functional Classification. To be eligible for this trial, participants must be class 2B or better"
NCT03191773,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04561557,All acute toxic reactions resolved to baseline or ≤ grade 1 assessed using NCI-CTCAE v5.0 except the ones adjudicated by the investigator to pose no risks on subjects.,0,All acute toxic reactions resolved to baseline or ≤ grade 1 assessed using NCI-CTCAE v5.0 except the ones adjudicated by the investigator to pose no risks on subjects.
NCT05451212,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03599375,Hemoglobin(Hgb)≥80g/L,0,Hemoglobin(Hgb)≥80g/L
NCT05098613,"<li>
<p>Histologically confirmed aggressive B-cell NHL including the following types defined by World Health Organization (WHO) 2008:</p>
<ol>
<li>Diffuse Large B-Cell Lymphoma (DLBCL) not otherwise specified; T cell/histiocyte rich large B cell lymphoma; DLBCL associated with chronic inflammation; Epstein Barr Virus (EBV)+ DLBCL of the elderly; OR</li>
<li>Primary mediastinal (thymic) large B cell lymphoma; OR</li>
<li>Transformation to DLBCL will also be included.</li>
<li>Subjects must not have signs or symptoms of CNS disease or detectable evidence of CNS disease on magnetic resonance imaging (MRI) at screening; subjects who have been previously treated for CNS disease, but have no evidence of disease at screening are eligible.</li>
</ol>
</li>",1,"<li> <p>Histologically confirmed aggressive B-cell NHL including the following types defined by World Health Organization (WHO) 2008:</p> <ol> <li>Diffuse Large B-Cell Lymphoma (DLBCL) not otherwise specified; T cell/histiocyte rich large B cell lymphoma; DLBCL associated with chronic inflammation; Epstein Barr Virus (EBV)+ DLBCL of the elderly; OR</li> <li>Primary mediastinal (thymic) large B cell lymphoma; OR</li> <li>Transformation to DLBCL will also be included.</li> <li>Subjects must not have signs or symptoms of CNS disease or detectable evidence of CNS disease on magnetic resonance imaging (MRI) at screening; subjects who have been previously treated for CNS disease, but have no evidence of disease at screening are eligible.</li> </ol> </li>"
NCT04712864,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03064269,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04412889,Measurable disease at screening as defined by any of the following: 1) Serum monoclonal paraprotein (M-protein) level ≥10 g/L or urine M-protein level ≥200 mg/24 hours or; 2) Light chain MM without measurable disease in the serum or the urine: serum immunoglobulin free light chain ≥10 mg/dL and abnormal serum immunoglobulin kappa/lambda free light chain ratio or; 3) Plasma cell percentage in bone marrow ≥30%;,1,Measurable disease at screening as defined by any of the following: 1) Serum monoclonal paraprotein (M-protein) level ≥10 g/L or urine M-protein level ≥200 mg/24 hours or; 2) Light chain MM without measurable disease in the serum or the urine: serum immunoglobulin free light chain ≥10 mg/dL and abnormal serum immunoglobulin kappa/lambda free light chain ratio or; 3) Plasma cell percentage in bone marrow ≥30%
NCT03706547,The ALT/AST value is lower than 2.5-fold of normal value,1,The ALT/AST value is lower than 2.5-fold of normal value
NCT04385173,>= 14 days after completion of Temozolomide or other chemotherapy,0,>= 14 days after completion of Temozolomide or other chemotherapy
NCT03751293,ECOG scores 0 - 1.,0,ECOG scores 0 - 1.
NCT03208556,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04186520,i. A maximum of four patients with history of prior anti-CD19 CAR-T will be allowed in this cohort.,0,i. A maximum of four patients with history of prior anti-CD19 CAR-T will be allowed in this cohort.
NCT04162119,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03602157,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT04626765,"Ages Eligible for Study: 1 Year to 18 Years   (Child, Adult)",0,"Ages Eligible for Study: 1 Year to 18 Years (Child, Adult)"
NCT05326243,"Ages Eligible for Study: 14 Years to 70 Years   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 14 Years to 70 Years (Child, Adult, Older Adult)"
NCT04796675,Patient or his or her legal guardian voluntarily participates in and signs an informed consent form.,0,Patient or his or her legal guardian voluntarily participates in and signs an informed consent form.
NCT04337606,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03030001,3. Patients must have previously received at least one standard therapy for their cancer (if available) and have been either non-responders (progressive disease) or have recurred. And patients are willing to attend the clinical trial.,1,Patients must have previously received at least one standard therapy for their cancer (if available) and have been either non-responders (progressive disease) or have recurred. And patients are willing to attend the clinical trial.
NCT04443829,"Agreement to have a pregnancy test, use highly effective contraception (if applicable)",1,"Agreement to have a pregnancy test, use highly effective contraception (if applicable)"
NCT04034446,"Ages Eligible for Study: 3 Years and older   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 3 Years and older (Child, Adult, Older Adult)"
NCT05616468,1. Sign the written informed consent voluntarily;,0,Sign the written informed consent voluntarily
NCT05016778,The subject can understand and have the ability to sign an informed consent form;,0,The subject can understand and have the ability to sign an informed consent form
NCT01818323,Eastern Co-operative Oncology Performance Status of 0-2.,0,Eastern Co-operative Oncology Performance Status of 0-2.
NCT03870945,Patients in cohort 1a must have histologically confirmed DLBCL and associated subtypes with relapse or refractory disease after first line chemo-immunotherapy and be ineligible for HSCT,0,Patients in cohort 1a must have histologically confirmed DLBCL and associated subtypes with relapse or refractory disease after first line chemo-immunotherapy and be ineligible for HSCT
NCT05022849,Histology: Metastatic CRPC (mCRPC) with histologic confirmation of adenocarcinoma. Metastatic CRPC with neuroendocrine features or mixed histology is excluded,0,Histology: Metastatic CRPC (mCRPC) with histologic confirmation of adenocarcinoma. Metastatic CRPC with neuroendocrine features or mixed histology is excluded
NCT04855136,"<p>Participants must satisfy the following criteria to be enrolled in the study:</p><ul>
<li>
<p>Participant has documented diagnosis of MM and measurable disease, defined as:</p>
<ol>
<li>M-protein (serum protein electrophoresis [sPEP ≥ 0.5 g/dL] or urine protein electrophoresis [uPEP]): uPEP ≥ 200 mg/24 hours and/or</li>
<li>Light chain MM without measurable disease in the serum or urine: Serum immunoglobulin free light chain ≥ 10 mg/dL (100 mg/L) and abnormal serum immunoglobulin kappa lambda free light chain ratio</li>
</ol>
</li>
<li>
<p>Participant has received:</p>
<ol>
<li>at least 3 prior MM regimens for Arm A Cohort 1 and Arm B</li>
<li>at least 1 but no greater than 3 prior MM regimens for Arm A Cohort 2</li>
</ol>
</li>
<li>Arm A Cohort 1 and Arm B: Participant has received prior treatment with an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody-containing regimen for at least 2 consecutive cycles.</li>
<li>Arm A Cohort 2: Participant has received prior treatment with an immunomodulatory agent for at least 2 consecutive cycles.</li>
<li>Evidence of PD during or within 6 months (measured from the last dose of any drug within the regimen) of completing treatment with the last antimyeloma regimen before study entry.</li>
<li>Participant achieved a response (minimal response [MR] or better) to at least 1 prior treatment regimen.</li>
<li>Participant has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.</li>
</ul>",1,"<p>Participants must satisfy the following criteria to be enrolled in the study:</p><ul> <li> <p>Participant has documented diagnosis of MM and measurable disease, defined as:</p> <ol> <li>M-protein (serum protein electrophoresis [sPEP ≥ 0.5 g/dL] or urine protein electrophoresis [uPEP]): uPEP ≥ 200 mg/24 hours and/or</li> <li>Light chain MM without measurable disease in the serum or urine: Serum immunoglobulin free light chain ≥ 10 mg/dL (100 mg/L) and abnormal serum immunoglobulin kappa lambda free light chain ratio</li> </ol> </li> <li> <p>Participant has received:</p> <ol> <li>at least 3 prior MM regimens for Arm A Cohort 1 and Arm B</li> <li>at least 1 but no greater than 3 prior MM regimens for Arm A Cohort 2</li> </ol> </li> <li>Arm A Cohort 1 and Arm B: Participant has received prior treatment with an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody-containing regimen for at least 2 consecutive cycles.</li> <li>Arm A Cohort 2: Participant has received prior treatment with an immunomodulatory agent for at least 2 consecutive cycles.</li> <li>Evidence of PD during or within 6 months (measured from the last dose of any drug within the regimen) of completing treatment with the last antimyeloma regimen before study entry.</li> <li>Participant achieved a response (minimal response [MR] or better) to at least 1 prior treatment regimen.</li> <li>Participant has an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.</li> </ul>"
NCT05240950,"Patients diagnosed with liver metastasis of colorectal cancer underwent radical surgery for the primary lesion of colorectal cancer, and R0 resection was performed for the liver metastasis (R0 resection was required for other organ metastasis). There was no measurable disease or tumor remnants (except invisible or unmeasurable disease) were found by imaging examination after surgery;",1,"Patients diagnosed with liver metastasis of colorectal cancer underwent radical surgery for the primary lesion of colorectal cancer, and R0 resection was performed for the liver metastasis (R0 resection was required for other organ metastasis). There was no measurable disease or tumor remnants (except invisible or unmeasurable disease) were found by imaging examination after surgery"
NCT04185038,"CNS reservoir catheter, such as an Ommaya or Rickham catheter",0,"CNS reservoir catheter, such as an Ommaya or Rickham catheter"
NCT04727008,ECOG ≤ 2,0,ECOG ≤ 2
